,stacja_numer,lat,lng
0,249220350,49.12194,22.58556
1,249220330,49.12472,22.79139
2,249220310,49.14472,22.47167
3,249220290,49.15361,22.317220000000002
4,249220320,49.157779999999995,22.55167
5,249220280,49.19167,22.68306
6,249220270,49.19639,22.42472
7,249200560,49.20111,20.07167
8,249220240,49.208890000000004,22.27167
9,249220250,49.21306,22.33333
10,249200550,49.213609999999996,20.0475
11,249220260,49.221109999999996,22.63389
12,249190680,49.229440000000004,19.85944
13,349190650,49.23278,19.981939999999998
14,249190670,49.236940000000004,19.78833
15,249200540,49.24389,20.00556
16,249220230,49.248059999999995,22.6925
17,249200530,49.26361,20.115
18,249190660,49.27778,19.870829999999998
19,349190625,49.293890000000005,19.960279999999997
20,249220210,49.29722,22.42694
21,249220220,49.303329999999995,22.57667
22,249190650,49.30556,19.92972
23,249220190,49.31472,22.4475
24,249200510,49.33028,20.035
25,249190640,49.33222,19.92889
26,249200480,49.3375,20.09806
27,249220180,49.33917,22.06333
28,249200520,49.34389,20.99611
29,249200490,49.34972,20.88556
30,249220170,49.35389,22.28361
31,249210270,49.378890000000006,21.99917
32,249190620,49.384170000000005,19.97306
33,249190610,49.39167,19.88417
34,249210260,49.39222,21.00889
35,249220150,49.4,22.46806
36,249220140,49.40361,22.15028
37,249200470,49.407779999999995,20.960829999999998
38,249200450,49.4125,20.10556
39,249200440,49.4175,20.89583
40,249200420,49.41778,20.31583
41,249200580,49.42528,20.72306
42,249190580,49.42583,19.00806
43,249210240,49.43111,21.684720000000002
44,249200380,49.433890000000005,20.025560000000002
45,249210230,49.43806,21.1725
46,249210250,49.44,21.81
47,249200370,49.44556,20.43167
48,249210220,49.45389,21.42083
49,249200360,49.45528,20.281670000000002
50,249190750,49.45639,19.14556
51,249200350,49.46528,20.956670000000003
52,249200340,49.46611,20.20944
53,349220690,49.466390000000004,22.34167
54,249190630,49.47056,19.69083
55,249200320,49.47417,20.12361
56,249210210,49.49,21.907220000000002
57,249200330,49.49528,20.21194
58,249210190,49.50083,21.86528
59,249220120,49.507220000000004,22.54778
60,249220110,49.50778,22.02528
61,249190540,49.50806,19.115
62,249200290,49.51028,20.24472
63,249190550,49.51389,19.11611
64,249210180,49.51611,21.48389
65,249200280,49.52722,20.85889
66,249190530,49.54056,19.31861
67,249190520,49.54417,19.96861
68,249190480,49.54472,19.01611
69,249200270,49.54472,20.11833
70,249200260,49.556940000000004,20.43889
71,249210170,49.558609999999994,21.34556
72,249190410,49.55917,19.080560000000002
73,249190460,49.566109999999995,19.772779999999997
74,249190440,49.56694,19.348329999999997
75,249210140,49.56694,21.68083
76,249210150,49.56778,21.78889
77,249180290,49.56889,18.892220000000002
78,249190430,49.58194,19.29944
79,249220080,49.58444,22.18528
80,249180280,49.584720000000004,18.9375
81,249190390,49.58778,19.516389999999998
82,249200250,49.58972,20.02583
83,249200240,49.60028,20.886670000000002
84,249180260,49.603609999999996,18.90111
85,249210120,49.61111,21.53417
86,249190350,49.611670000000004,19.51889
87,249190720,49.613609999999994,19.9625
88,249190370,49.613890000000005,19.962220000000002
89,249200230,49.62,20.948610000000002
90,349200660,49.62722,20.68806
91,249200220,49.64056,20.38306
92,249180240,49.64472,18.967779999999998
93,249190330,49.65028,19.16
94,249200210,49.65222,20.215
95,249190320,49.65361,19.99194
96,249180230,49.654720000000005,18.86111
97,249220070,49.654720000000005,22.63917
98,249210090,49.65528,21.171110000000002
99,249190340,49.67222,19.413610000000002
100,249180220,49.68333,18.81972
101,249190280,49.683609999999994,19.91028
102,249220060,49.68722,22.48111
103,249190240,49.68806,19.4175
104,249200180,49.69361,20.418329999999997
105,249180210,49.70306,18.99389
106,349210670,49.70667,21.769170000000003
107,249180190,49.71,18.90278
108,249190220,49.71583,19.38278
109,249210160,49.71694,21.96111
110,249180180,49.720279999999995,18.85278
111,249190210,49.72417,19.16028
112,249190190,49.72583,19.68806
113,249210070,49.735279999999996,21.295560000000002
114,249200150,49.73833,20.63861
115,249210080,49.73944,21.48222
116,249180170,49.74667,18.942220000000002
117,249200140,49.75028,20.074720000000003
118,249180160,49.753609999999995,18.870829999999998
119,249180130,49.753890000000006,18.648329999999998
120,249190170,49.759440000000005,19.78806
121,249200110,49.77083,20.224439999999998
122,250180150,49.77361,18.973329999999997
123,249200120,49.78528,20.41611
124,249200130,49.786390000000004,20.89639
125,249190130,49.78917,19.19611
126,249190120,49.793890000000005,19.106939999999998
127,249190140,49.795559999999995,19.446939999999998
128,249190150,49.79667,19.9175
129,349220695,49.80417,22.77194
130,249220040,49.83528,22.235
131,249180090,49.854440000000004,18.88056
132,249180070,49.85556,18.98583
133,249190090,49.867779999999996,19.39528
134,249190110,49.86972,19.685
135,249190080,49.876940000000005,19.511110000000002
136,249210040,49.87722,21.81472
137,249200070,49.8775,20.07056
138,249200060,49.89528,20.58833
139,249210030,49.903890000000004,21.04778
140,249190060,49.904720000000005,19.965
141,249200050,49.920559999999995,20.30944
142,249190050,49.9425,19.81333
143,249200020,49.96528,20.495279999999998
144,249190030,49.9725,19.89472
145,249220010,49.985279999999996,22.407220000000002
146,249210010,49.98722,21.308329999999998
147,250200310,49.98722,20.0525
148,249180020,49.99194,18.705560000000002
149,249200010,49.996390000000005,20.433329999999998
150,250230140,50.01778,23.15833
151,250220210,50.021390000000004,22.7025
152,350200575,50.029720000000005,20.984170000000002
153,250210240,50.06361,21.49306
154,250190470,50.06389,19.89
155,250200290,50.06583,20.71
156,250210260,50.07806,21.70361
157,250200280,50.09361,20.25639
158,350220580,50.11528,22.02917
159,250180490,50.128609999999995,19.00111
160,250160650,50.15333,16.67083
161,250180510,50.15444,18.483060000000002
162,250170390,50.181940000000004,17.795
163,250200270,50.18611,20.99111
164,250230130,50.196670000000005,23.04639
165,250210230,50.19944,21.26944
166,250160630,50.22167,16.78444
167,250160620,50.2275,16.88417
168,250230120,50.23361,23.11806
169,350190560,50.240559999999995,19.03139
170,250200250,50.25306,20.23056
171,250190310,50.25861,19.26278
172,250210220,50.26222,21.745829999999998
